UTC Date / Time;Date / Time;Action;Service;Protocol;Direction;Risk;Policy;Policy Type;Other Policies;Category;In;Out;Src. MAC;Src. Ip;Src. Port;Src. Name;Src. Network;Src. Region;Src. Zone;Dst. Domain;Dst. MAC;Dst. Ip;Dst. Port;Dst. Name;Dst. Network;Dst. Region;Dst. Zone;Signature;Signature ID;Bytes;Bytes Rec.;Bytes Sent;Packets;Packets Rec.;Packets Sent;Session Id;Flow Count
2025-11-18T23:45:54.384Z;Nov 19, 2025 12:45:54.384 AM;blocked;Other;tcp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;54475;UNAS 25:f4;V100;;Internal;;;188.128.33.1;57608;;;RU;External;;;60;null;null;1;null;null;;9
2025-11-18T23:46:25.997Z;Nov 19, 2025 12:46:25.997 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;95.24.3.205;59608;;;RU;External;;;132;null;null;1;null;null;;2
2025-11-18T23:46:27.386Z;Nov 19, 2025 12:46:27.386 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;5.227.49.79;2969;;;RU;External;;;143;null;null;1;null;null;;1
2025-11-18T23:46:27.599Z;Nov 19, 2025 12:46:27.599 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;95.25.24.136;37563;;;RU;External;;;143;null;null;1;null;null;;1
2025-11-18T23:46:31.429Z;Nov 19, 2025 12:46:31.429 AM;blocked;Other;tcp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;57381;UNAS 25:f4;V100;;Internal;;;95.66.128.95;12504;;;RU;External;;;60;null;null;1;null;null;;8
2025-11-18T23:46:44.573Z;Nov 19, 2025 12:46:44.573 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;95.66.128.95;12504;;;RU;External;;;132;null;null;1;null;null;;7
2025-11-18T23:47:24.494Z;Nov 19, 2025 12:47:24.494 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;89.169.48.224;19461;;;RU;External;;;132;null;null;1;null;null;;3
2025-11-18T23:47:46.52Z;Nov 19, 2025 12:47:46.520 AM;blocked;Other;tcp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51485;UNAS 25:f4;V100;;Internal;;;95.66.128.95;12504;;;RU;External;;;60;null;null;1;null;null;;8
2025-11-18T23:48:01.538Z;Nov 19, 2025 12:48:01.538 AM;blocked;Other;tcp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;42753;UNAS 25:f4;V100;;Internal;;;46.36.31.253;56954;;;RU;External;;;60;null;null;1;null;null;;9
2025-11-18T23:48:01.538Z;Nov 19, 2025 12:48:01.538 AM;blocked;Other;tcp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;54691;UNAS 25:f4;V100;;Internal;;;178.76.243.177;52056;;;RU;External;;;60;null;null;1;null;null;;9
